cas,chem_name,group,latin_name,strain,test_type,test_statistic,duration_d,effect_value,effect_unit,source,endpoint,QC
63252,Carbaryl,ZF_EMBRYO1,Danio rerio,,,AC50,,11.77000076,mg/L,Padilla et al 2012,Mortality,
116063,Aldicarb,ZF_EMBRYO1,Danio rerio,,,AC50,,10.3632747,mg/L,Padilla et al 2012,Mortality,
121755,Malathion,ZF_EMBRYO1,Danio rerio,,,AC50,,7.767939484,mg/L,Padilla et al 2012,Mortality,
1897456,Chlorothalonil,ZF_EMBRYO1,Danio rerio,,,AC50,,0.083523399,mg/L,Padilla et al 2012,Mortality,
2921882,Chlorpyrifos,ZF_EMBRYO1,Danio rerio,,,AC50,,2.958704586,mg/L,Padilla et al 2012,Mortality,
5234684,Carboxin,ZF_EMBRYO1,Danio rerio,,,AC50,,1.206245508,mg/L,Padilla et al 2012,Mortality,
16752775,Methomyl,ZF_EMBRYO1,Danio rerio,,,AC50,,6.709854436,mg/L,Padilla et al 2012,Mortality,
175013180,Pyraclostrobin,ZF_EMBRYO1,Danio rerio,,,AC50,,0.053519519,mg/L,Padilla et al 2012,Mortality,
116063,Aldicarb,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000073C12,,AC50_mg_L,6,1.51010582924017,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
116063,Aldicarb,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000073C12,,AC20_mg_L,6,0.0712106499501782,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
116063,Aldicarb,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000073C12,,AC10_mg_L,6,0.00706504372922221,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
116063,Aldicarb,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000073C12,,AC5_mg_L,6,0.000700946318152474,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
116063,Aldicarb,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000073C12,,BMD_mg_L,6,1.50960835362095,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
116063,Aldicarb,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000073C12,,ACC_mg_L,6,0.767652291988146,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
63252,Carbaryl,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000077H04,,AC50_mg_L,6,13.1994626584546,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
63252,Carbaryl,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000077H04,,AC20_mg_L,6,9.52831034659138,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
63252,Carbaryl,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000077H04,,AC10_mg_L,6,6.98105323079633,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
63252,Carbaryl,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000077H04,,AC5_mg_L,6,4.76668105206593,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
63252,Carbaryl,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000077H04,,BMD_mg_L,6,12.9383371127596,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
63252,Carbaryl,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000077H04,,ACC_mg_L,6,12.1083520594078,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
5234684,Carboxin,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000075A12,,AC50_mg_L,6,1.52534408972017,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
5234684,Carboxin,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000075A12,,AC20_mg_L,6,1.27489298077038,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
5234684,Carboxin,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000075A12,,AC10_mg_L,6,1.13214241758241,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
5234684,Carboxin,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000075A12,,AC5_mg_L,6,1.01025572719433,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
5234684,Carboxin,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000075A12,,BMD_mg_L,6,1.32614841236752,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
5234684,Carboxin,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000075A12,,ACC_mg_L,6,1.27851513112548,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
2921882,Chlorpyrifos,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000693A08,,AC50_mg_L,6,1.72704943410601,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
2921882,Chlorpyrifos,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000693A08,,AC20_mg_L,6,1.3726022048071,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
2921882,Chlorpyrifos,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000693A08,,AC10_mg_L,6,1.1789485185206,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
2921882,Chlorpyrifos,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000693A08,,AC5_mg_L,6,1.01891566238196,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
2921882,Chlorpyrifos,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000693A08,,BMD_mg_L,6,1.44271736317106,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
2921882,Chlorpyrifos,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000693A08,,ACC_mg_L,6,1.37671548710493,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
121755,Malathion,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000075G10,,AC50_mg_L,6,10.6557669050491,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
121755,Malathion,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000075G10,,AC20_mg_L,6,5.07289813620094,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
121755,Malathion,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000075G10,,AC10_mg_L,6,3.10346306930725,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
121755,Malathion,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000075G10,,AC5_mg_L,6,1.93704186902475,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
121755,Malathion,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000075G10,,BMD_mg_L,6,5.64105848929009,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
121755,Malathion,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000075G10,,ACC_mg_L,6,4.85665265447953,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
8018017,Mancozeb,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000688A10,,AC50_mg_L,6,16.057006036473,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
8018017,Mancozeb,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000688A10,,AC20_mg_L,6,9.73062466065108,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
8018017,Mancozeb,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000688A10,,AC10_mg_L,6,6.08207905161118,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
8018017,Mancozeb,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000688A10,,AC5_mg_L,6,3.52888759775718,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
8018017,Mancozeb,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000688A10,,BMD_mg_L,6,15.9305426079396,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
8018017,Mancozeb,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000688A10,,ACC_mg_L,6,14.4121186066918,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
16752775,Methomyl,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000073E01,,AC50_mg_L,6,6.4884,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
16752775,Methomyl,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000073E01,,AC20_mg_L,6,2.59536,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
16752775,Methomyl,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000073E01,,AC10_mg_L,6,1.29768,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
16752775,Methomyl,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000073E01,,AC5_mg_L,6,0.64884,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
16752775,Methomyl,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000073E01,,BMD_mg_L,6,3.3534741563307,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
16752775,Methomyl,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000073E01,,ACC_mg_L,6,2.73769308431551,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
175013180,Pyraclostrobin,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000077D06,,AC50_mg_L,6,0.0695125813848182,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
175013180,Pyraclostrobin,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000077D06,,AC20_mg_L,6,0.0552123708737193,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
175013180,Pyraclostrobin,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000077D06,,AC10_mg_L,6,0.0474034341889578,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
175013180,Pyraclostrobin,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000077D06,,AC5_mg_L,6,0.0409528065364534,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
175013180,Pyraclostrobin,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000077D06,,BMD_mg_L,6,0.0580322726184956,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
175013180,Pyraclostrobin,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000077D06,,ACC_mg_L,6,0.0553706918517522,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
115866,Triphenyl phosphate,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000856A08,,AC50_mg_L,6,2.12074851877764,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
115866,Triphenyl phosphate,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000856A08,,AC20_mg_L,6,0.68272853038528,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
115866,Triphenyl phosphate,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000856A08,,AC10_mg_L,6,0.322360335273208,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
115866,Triphenyl phosphate,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000856A08,,AC5_mg_L,6,0.156936623485574,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
115866,Triphenyl phosphate,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000856A08,,BMD_mg_L,6,0.861894711269204,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
115866,Triphenyl phosphate,TOXCAST_zebrafish_Padilla,Danio rerio,TP0000856A08,,ACC_mg_L,6,0.684341241389431,mg/L,TOXCAST,CCTE_Padilla_ZF_144hpf_TERATOSCORE,PASS
