Common name,LC50 0-24 hpf (mg/L),LC50 0-48 hpf (mg/L),LC50 0-72 hpf (mg/L),LC50 0-96 hpf (mg/L),LC50 0-120 hpf (mg/L),LC50 0-120 (140) hpf (mg/L),LC50 0-144 hpf (mg/L),LEL 0-120 hpf (mg/L),LC50 4-56 hpf (mg/L),LC50 4-80 hpf (mg/L),LC50 12-48 hpf (mg/L),LC50 24-48 hpf (mg/L),LC50 24-72 hpf (mg/L),LC50 24-96 hpf (mg/L),LC50 24-120 hpf (mg/L),LC50 48-72 hpf (mg/L),LC50 72-96 hpf (mg/L),LC50 72-120 hpf (mg/L),LC50 72-144 hpf (mg/L),LC50  144-240 hpf (mg/L),LC50  168-240 hpf (mg/L),"Summary for regression (lowest value, mg/L)"
Nicotine,,,,,,,,,,,,76.2481,45.4244,29.2014,35.6906,,,,,,,29.2014
Glycerol,,,,,,,,,,,,,,,23352.1822,,,,,,,23352.1822
Acetic acid,,,,,,,,,,,,377.114,360.9005,329.074,186.155,,,,,,,186.155
Salicylic acid,,,,,,,,,,,,46.9608,46.9608,46.9608,46.9608,,,,,,,46.9608
Sodium oxalate,,,,,,,,,,,,,2971.8903,308.8029,250.2834,,,,,,,250.2834
Trichloroacetic acid,,,,,,,,,,,,86.5967,86.5967,86.5967,66.9899,,,,,,,66.9899
Paracetamol (Acetaminophen),,,,,,,,,,,,,888.8208,816.264,535.1064,,,,,,,535.1064
Phenol,,,,,,,,,,,,255.9792,354.7947,173.1624,86.5812,,,,,,,86.5812
Dimethyl sulfoxide,,,,,,,,,,,,,31187.1521,18816.0479,20964.6229,,,,,,,18816.0479
Formaldehyde,,,,,,,,,,,,,12.9129,11.1111,12.6126,,,,,,,11.1111
Ziram,,,,,3.914368,,,,,,,,,,,,,,,,,3.914368
Salicylic acid,,24.58536,,,22.79,,,,,,,,,,,,,,,,,22.79
Butyldiglykol,,1281.617,,,1281.617,,,,,,,,,,,,,,,,,1281.617
1-Methoxy-2-propanol,,16338.756,,,13914.528,,,,,,,,,,,,,,,,,13914.528
2-Methoxyethanol,,23831.388,,,17241.994,,,,,,,,,,,,,,,,,17241.994
"2,4-DB (Butyrac)",,,,,,6.43128303327663,,,,,,,,,,,,,,,,6.43128303327663
"2,5-Pyridinedicarboxylic acid, dipropyl ester",,,,,,0.432318458620494,,,,,,,,,,,,,,,,0.432318458620494
2-Phenylphenol,,,,,,7.85773133072899,,,,,,,,,,,,,,,,7.85773133072899
Propoxur,165.9999999015,145.999999989,,134.9999999325,,,,,,,,,,,,,,,,,,134.9999999325
Acetochlor,,,,,,7.1866728,,,,,,,,,,,,,,,,7.1866728
Alachlor,,,,,,7.1866728,,,,,,,,,,,,,,,,7.1866728
Azinphos-methyl,,,,,,8.7234017,,,,,,,,,,,,,,,,8.7234017
Bendiocarb,,,,,,10.3053954818085,,,,,,,,,,,,,,,,10.3053954818085
Benomyl,,,,,,0.499485414305563,,,,,,,,,,,,,,,,0.499485414305563
Bifenazate,,,,,,2.751206,,,,,,,,,,,,,,,,2.751206
Bisphenol A,,,,,,10.5389899858535,,,,,,,,,,,,,,,,10.5389899858535
Bromoxynil,,,,,,4.25904503942021,,,,,,,,,,,,,,,,4.25904503942021
Butafenacil,,,,,,0.00328958017576711,,,,,,,,,,,,,,,,0.00328958017576711
Captafol,,,,,,0.60054553154278,,,,,,,,,,,,,,,,0.60054553154278
Captan,,,,,,0.517154590404069,,,,,,,,,,,,,,,,0.517154590404069
Carboxin,,,,,,1.20635260286203,,,,,,,,,,,,,,,,1.20635260286203
Carfentrazone-ethyl,,,,,,0.233169875309826,,,,,,,,,,,,,,,,0.233169875309826
Chlorothalonil,,,,,,0.0850912,,,,,,,,,,,,,,,,0.0850912
Clodinafop-propargyl,,,,,,0.1119168,,,,,,,,,,,,,,,,0.1119168
Clorophene,,,,,,1.9418784,,,,,,,,,,,,,,,,1.9418784
Cyazofamid,,,,,,1.0100969,,,,,,,,,,,,,,,,1.0100969
Cymoxanil,,,,,,15.3668772,,,,,,,,,,,,,,,,15.3668772
Cyprodinil,,,,,,3.46509789076227,,,,,,,,,,,,,,,,3.46509789076227
Clopyralid-olamine,,,,,,,,,,,,,,,,,,,,,,
Dimethenamid,,,,,,12.7322854181015,,,,,,,,,,,,,,,,12.7322854181015
Fenamidone,,,,,,0.921744,,,,,,,,,,,,,,,,0.921744
Fenhexamid,,,,,,2.683536,,,,,,,,,,,,,,,,2.683536
Triphenyltin hydroxide (Fentin),,,,,,0.0687356161317028,,,,,,,,,,,,,,,,0.0687356161317028
Flufenpyr-ethyl,,,,,,0.231212603739502,,,,,,,,,,,,,,,,0.231212603739502
Fluthiacet-methyl,,,,,,0.00844099537743743,,,,,,,,,,,,,,,,0.00844099537743743
Folpet,,,,,,2.6334528,,,,,,,,,,,,,,,,2.6334528
Forchlorfenuron,,,,,,11.4341278185474,,,,,,,,,,,,,,,,11.4341278185474
Hexaconazole,,,,,,8.3705544,,,,,,,,,,,,,,,,8.3705544
Imazalil,,,,,,0.9093708,,,,,,,,,,,,,,,,0.9093708
Malathion,,,,,,8.391144,,,,,,,,,,,,,,,,8.391144
Methylene bis(thiocyanate),,,,,,0.667467256126681,,,,,,,,,,,,,,,,0.667467256126681
Metolachlor,,,,,,13.1011431428681,,,,,,,,,,,,,,,,13.1011431428681
MGK-264,,,,,,2.4454632,,,,,,,,,,,,,,,,2.4454632
Paclobutrazol,,,,,,14.0372862,,,,,,,,,,,,,,,,14.0372862
Primisulfuron-methyl,,,,,,2.40111847864175,,,,,,,,,,,,,,,,2.40111847864175
Propanil,,,,,,10.0676461348063,,,,,,,,,,,,,,,,10.0676461348063
Pyraclostrobin,,,,,,0.0726290675100046,,,,,,,,,,,,,,,,0.0726290675100046
Pyraflufen-ethyl,,,,,,0.0773783665457782,,,,,,,,,,,,,,,,0.0773783665457782
Sulfentrazone,,,,,,17.8745960516125,,,,,,,,,,,,,,,,17.8745960516125
TCMTB,,,,,,0.1348367778909,,,,,,,,,,,,,,,,0.1348367778909
Thiabendazole,,,,,,9.29069050178726,,,,,,,,,,,,,,,,9.29069050178726
Thiobencarb,,,,,,5.709827,,,,,,,,,,,,,,,,5.709827
Thiodicarb,,,,,,16.3640798120175,,,,,,,,,,,,,,,,16.3640798120175
Thiophanate-methyl,,,,,,1.013504,,,,,,,,,,,,,,,,1.013504
Thiram,,,,,,0.0769408,,,,,,,,,,,,,,,,0.0769408
Triadimenol,,,,,,8.1274848,,,,,,,,,,,,,,,,8.1274848
Zoxamide,,,,,,1.72590964822556,,,,,,,,,,,,,,,,1.72590964822556
2-Aminoethanol,,,,3683.124,,,,,,,,,,,,,,,,,,3683.124
Aniline,,,,866.109,,,,,,,,,,,,,,,,,,866.109
4-Chlorophenol,,42.8,40.1,34.6,,,,,,,,,,,,,,,,,,34.6
4-Chlorophenol,40.4,43.86,42.14,32.1799999999999,,,,,,,,,,,,,,,,,,32.1799999999999
"C8-10 N, N-dimethyl-N-(2-hydroxyethyl)-N-alkonium chloride",,403.435892338886,,335.336739156363,,,,,,,,,,,,,,,,,,335.336739156363
4.6-Dinitro-o-cresol,,0.599969718380943,0.439977793479358,0.389980316947613,,,,,,,,,,,,,,,,,,0.389980316947613
"2,2,2-Trichloroethanol",,417.3,,,404.874,,,,,,,,,,,,,,,,,404.874
Diethyl phthalate,,38.97,,,46.6704,,,,,,,,,,,,,,,,,38.97
Naphthalene,,8.84,,,8.58739,,,,,,,,,,,,,,,,,8.58739
"1,2-Dichlorobenzene",,13.85,,,10.437,,,,,,,,,,,,,,,,,10.437
Dichloromethane,,700.3,,,676.8921,,,,,,,,,,,,,,,,,676.8921
Tetrachloroethylene,,48.7522953198694,,,41.4575,,,,,,,,,,,,,,,,,41.4575
Allyl alcohol,,338.9,,,220.704,,,,,,,,,,,,,,,,,220.704
"2-Methyl-1,4-naphthoquinone",,0.119993030954179,,,0.094699,,,,,,,,,,,,,,,,,0.094699
"2,2'-Methylenebis(4-chlorophenol)",,0.459982907888381,,,0.2664288,,,,,,,,,,,,,,,,,0.2664288
4-Fluoroaniline,,62.73,,,196.6824,,,,,,,,,,,,,,,,,62.73
Malathion,,9.36,,,3.3036,,,,,,,,,,,,,,,,,3.3036
Disulfoton,,10.82,,,8.2323,,,,,,,,,,,,,,,,,8.2323
Rotenone,,0.0759980731688766,,,0.0670514,,,,,,,,,,,,,,,,,0.0670514
Caffeine,,662.2,,,328.1811,,,,,,,,,,,,,,,,,328.1811
6-Methyl-5-hepten-one,,279,,243,,,,,,,,,,,,,,,,,,243
Dibutylmaleate,,1.38,,0.7,,,,,,,,,,,,,,,,,,0.7
Ethanol,,13200,,12000,,,,,,,,,,,,,,,,,,12000
4-Chlorophenol,,,,,45,,,,,,,,,,,,,,,,,45
Trichlorfon,,,45.13,25.4,,,,,,,,,,,,,,,,,,25.4
Caffeine,,712.6773,,,287.4012,,,,,,,,,,,,,,,,,287.4012
Bisphenol A,,,,,5,,,,,,,,,,,,,,,,,5
Malathion,,25.76808,0.759828,,,,,,,,,,,,,,,,,,,0.759828
Acibenzolar-S-Methyl,,,,,,3.23423491708238,,,,,,,,,,,,,,,,3.23423491708238
Quinoline,,,,18.2,,,,,,,,,,,,,,,,,,18.2
Tetradecyl sulfate,,0.337250025125,,0.3388333563875,,,,,,,,,,,,,,,,,,0.337250025125
Zinc pyrithione,,,,0.00700000000000001,,,,,,,,,,,,,,,,,,0.00700000000000001
Merquat 100,,,,0.516583336853333,,,,,,,,,,,,,,,,,,0.516583336853333
Carbaryl,24.3987874571386,30.7984694131094,25.298742732197,22.6988719375839,,,,,,,,,,,,,,,,,,22.6988719375839
Picloram,,,,112.56,,,,,,,,,,,,,,,,,,112.56
Diquatdibromide,,,,555.29,,,,,,,,,,,,,,,,,,555.29
Azinphos-methyl,,,,3.39,,,,,,,,,,,,,,,,,,3.39
Aldicarb,,,,279.885289325695,,,,,,,,,,,,,,,,,,279.885289325695
Propanil,4.078096,3.576512,3.532896,3.293008,,,,,,,,,,,,,,,,,,3.293008
Alachlor,29.6747,15.403867,15.403867,13.110822,,,,,,,,,,,,,,,,,,13.110822
Benzophenone,3.899508,3.46218,3.46218,2.988408,,,,,,,,,,,,,,,,,,2.988408
12-Benzenedicarboxaldehyde,,,,,0.3460554,,,,,,,,,,,,,,,,,0.3460554
12-Dinitrobenzene,,,,,1.2288841,,,,,,,,,,,,,,,,,1.2288841
2-(Thiocyanomethylthio)benzothiazole,482.40672208708,,,,0.12609244,,,,,,,,,,,,,,,,,0.12609244
245-Trichlorophenol,3996.1070345735,,,,2.033735,,,,,,,,,,,,,,,,,2.033735
24-Dinitrophenol,,,,,2.080443,,,,,,,,,,,,,,,,,2.080443
2-Naphthalenol,,,,,3.661918,,,,,,,,,,,,,,,,,3.661918
3-Iodo-2-propynyl-N-butylcarbamate,,,,,5.68886160893,,,,,,,,,,,,,,,,,5.68886160893
4-(2-Methylbutan-2-yl)phenol,,,,,6.07688,,,,,,,,,,,,,,,,,6.07688
4-tert-Butylphenol,,,,,6.579636,,,,,,,,,,,,,,,,,6.579636
5-Chloro-2-methyl-3(2H)-isothiazolone,,,,,1.82512,,,,,,,,,,,,,,,,,1.82512
Acetochlor,,,,,15.565729,,,,,,,,,,,,,,,,,15.565729
Alachlor,,,,,3.210263,,,,,,,,,,,,,,,,,3.210263
Bisphenol A,,,,,5.730079,,,,,,,,,,,,,,,,,5.730079
Bromoxynil,,,,,2.2789693,,,,,,,,,,,,,,,,,2.2789693
Carboxin,,,,,4.68247,,,,,,,,,,,,,,,,,4.68247
Clorophene,,,,,4.679752,,,,,,,,,,,,,,,,,4.679752
Cyazofamid,,,,,0.17636097,,,,,,,,,,,,,,,,,0.17636097
Diallyl phthalate,,,,,4.98395197202,,,,,,,,,,,,,,,,,4.98395197202
Didecyldimethylammonium chloride,,,,,6.61032401974,,,,,,,,,,,,,,,,,6.61032401974
Dimethenamid,,,,,7.06048,,,,,,,,,,,,,,,,,7.06048
Dinoseb,,,,,0.08695602,,,,,,,,,,,,,,,,,0.08695602
Dipropyl pyridine-25-dicarboxylate,,,,,0.3291768,,,,,,,,,,,,,,,,,0.3291768
Fenamidone,6302.292887142,,,,2.811942,,,,,,,,,,,,,,,,,2.811942
Fenamiphos,,,,,9.009792,,,,,,,,,,,,,,,,,9.009792
Hydroquinone,,,,,0.1398397,,,,,,,,,,,,,,,,,0.1398397
Imazalil,,,,,6.0145003217754,,,,,,,,,,,,,,,,,6.0145003217754
Methylene bis(thiocyanate),,,,,1.510204,,,,,,,,,,,,,,,,,1.510204
N-Phenyl-14-benzenediamine,,,,,3.72875542648,,,,,,,,,,,,,,,,,3.72875542648
Octhilinone,,,,,0.2474744,,,,,,,,,,,,,,,,,0.2474744
Phenylmercuric acetate,68.1513841898,,,,0.03805162,,,,,,,,,,,,,,,,,0.03805162
Propylparaben,,,,,3.6469915754,,,,,,,,,,,,,,,,,3.6469915754
Pyraclostrobin,,,,,0.19313436,,,,,,,,,,,,,,,,,0.19313436
Triphenyltin hydroxide (Fentin),,,,,0.04110512,,,,,,,,,,,,,,,,,0.04110512
Phenanthrene,,,,,,,0.15999992268,,,,,,,,,,,,,,,0.15999992268
Bisphenol A,,,,8.04099999947,,,,,,,,,,,,,,,,,,8.04099999947
4-Chloroaniline,,,,44.022,,,,,,,,,,,,,,,,,,44.022
Acrylamide,,,,304.2224,,,,,,,,,,,,,,,,,,304.2224
Bisphenol A,,,,13.92569,,,,,,,,,,,,,,,,,,13.92569
"3,4-dicholoraniline",,,,3.2200000618,,,,,,,,,,,,,,,,,,3.2200000618
Paclobutrazol,0.0996998548,0.0713998636,0.0713998636,0.0713998636,0.058599879,,,,,,,,,,,,,,,,,0.058599879
Methylmercury chloride,,0.042,,0.028,,,,,,,,,,,,,,,,,,0.028
"4,6-Dinitro-o-cresol",,0.723,,0.567,,,,,,,,,,,,,,,,,,0.567
3.4-Dichloroaniline,,3,,2.7,,,,,,,,,,,,,,,,,,2.7
"2,4-Dinitrophenol",,4.1,,3,,,,,,,,,,,,,,,,,,3
Malathion,,6.123,,4.56,,,,,,,,,,,,,,,,,,4.56
Prochloraz,,4.461,,5.6,,,,,,,,,,,,,,,,,,4.461
Dimethyl sulfoxide,,40200,,34100,,,,,,,,,,,,,,,,,,34100
Triethylene glycol,,71300,,54800,,,,,,,,,,,,,,,,,,54800
