x,y,or.slope,or.int,or.r2,lr.slope,lr.int,Pearson's r,p value,Deg. freedom
TC_ZF_Padilla:BMD:6:TERATOSCORE,TC_ZF_Padilla:ACC:6:TERATOSCORE,1.008,-0.053,0.998,1.006,-0.052,0.998,0,403
TC_ZF_Padilla:AC5:6:TERATOSCORE,TC_ZF_Padilla:BMD:6:TERATOSCORE,0.883,0.415,0.889,0.795,0.394,0.888,0,403
TC_ZF_Padilla:AC5:6:TERATOSCORE,TC_ZF_Padilla:ACC:6:TERATOSCORE,0.894,0.367,0.913,0.823,0.35,0.912,0,403
TC_ZF_Padilla:AC50:6:TERATOSCORE,TC_ZF_Padilla:BMD:6:TERATOSCORE,1.023,-0.132,0.977,0.999,-0.124,0.977,0,403
TC_ZF_Padilla:AC50:6:TERATOSCORE,TC_ZF_Padilla:ACC:6:TERATOSCORE,1.031,-0.186,0.973,1.002,-0.176,0.972,0,403
TC_ZF_Padilla:AC50:6:TERATOSCORE,TC_ZF_Padilla:AC5:6:TERATOSCORE,1.168,-0.623,0.855,0.973,-0.559,0.853,0,403
TC_ZF_Padilla:AC50:6:TERATOSCORE,TC_ZF_Padilla:AC20:6:TERATOSCORE,1.039,-0.242,0.972,1.008,-0.232,0.972,0,403
TC_ZF_Padilla:AC50:6:TERATOSCORE,TC_ZF_Padilla:AC10:6:TERATOSCORE,1.089,-0.426,0.922,0.996,-0.395,0.921,0,403
TC_ZF_Padilla:AC20:6:TERATOSCORE,TC_ZF_Padilla:BMD:6:TERATOSCORE,0.985,0.106,0.976,0.961,0.108,0.976,0,403
TC_ZF_Padilla:AC20:6:TERATOSCORE,TC_ZF_Padilla:ACC:6:TERATOSCORE,0.993,0.054,0.984,0.977,0.056,0.984,0,403
TC_ZF_Padilla:AC20:6:TERATOSCORE,TC_ZF_Padilla:AC5:6:TERATOSCORE,1.105,-0.349,0.952,1.046,-0.343,0.951,0,403
TC_ZF_Padilla:AC20:6:TERATOSCORE,TC_ZF_Padilla:AC10:6:TERATOSCORE,1.043,-0.172,0.987,1.028,-0.17,0.987,0,403
TC_ZF_Padilla:AC10:6:TERATOSCORE,TC_ZF_Padilla:BMD:6:TERATOSCORE,0.942,0.268,0.942,0.89,0.264,0.942,0,403
TC_ZF_Padilla:AC10:6:TERATOSCORE,TC_ZF_Padilla:ACC:6:TERATOSCORE,0.951,0.217,0.959,0.913,0.215,0.958,0,403
TC_ZF_Padilla:AC10:6:TERATOSCORE,TC_ZF_Padilla:AC5:6:TERATOSCORE,1.056,-0.168,0.988,1.043,-0.169,0.988,0,403
"NIEHS_RAT:LOEL:NA:DART, Reproductive performance",TC_ZF_Padilla:BMD:6:TERATOSCORE,-0.19,0.924,0.12,-0.04,0.587,-0.044,0.857,17
"NIEHS_RAT:LOEL:NA:DART, Reproductive performance",TC_ZF_Padilla:ACC:6:TERATOSCORE,-0.194,0.884,0.112,-0.038,0.533,-0.042,0.863,17
"NIEHS_RAT:LOEL:NA:DART, Reproductive performance",TC_ZF_Padilla:AC5:6:TERATOSCORE,-0.376,0.895,0.054,-0.034,0.127,-0.036,0.885,17
"NIEHS_RAT:LOEL:NA:DART, Reproductive performance",TC_ZF_Padilla:AC50:6:TERATOSCORE,-0.757,2.289,0.097,-0.091,0.794,-0.093,0.704,17
"NIEHS_RAT:LOEL:NA:DART, Reproductive performance",TC_ZF_Padilla:AC20:6:TERATOSCORE,-0.785,2.142,0.076,-0.072,0.542,-0.074,0.764,17
"NIEHS_RAT:LOEL:NA:DART, Reproductive performance",TC_ZF_Padilla:AC10:6:TERATOSCORE,-0.622,1.615,0.063,-0.055,0.343,-0.057,0.817,17
"NIEHS_RAT:LOEL:NA:DART, Reproductive performance","NIEHS_RAT:LOEL:NA:DART, In life observation",1.06,-0.246,0.942,0.996,-0.105,0.942,0,23
"NIEHS_RAT:LOEL:NA:DART, Reproductive performance",NIEHS_RAT:LD50:NA:Acute Oral Toxicity,0.934,1.099,0.791,0.749,1.486,0.791,0,18
"NIEHS_RAT:LOEL:NA:DART, In life observation",TC_ZF_Padilla:BMD:6:TERATOSCORE,2.144,-3.665,0.412,0.43,-0.555,0.328,0.001,99
"NIEHS_RAT:LOEL:NA:DART, In life observation",TC_ZF_Padilla:ACC:6:TERATOSCORE,2.132,-3.707,0.43,0.456,-0.666,0.344,0,99
"NIEHS_RAT:LOEL:NA:DART, In life observation",TC_ZF_Padilla:AC5:6:TERATOSCORE,2.409,-4.687,0.55,0.637,-1.473,0.423,0,99
"NIEHS_RAT:LOEL:NA:DART, In life observation",TC_ZF_Padilla:AC50:6:TERATOSCORE,1.894,-3.072,0.376,0.394,-0.351,0.318,0.001,99
"NIEHS_RAT:LOEL:NA:DART, In life observation",TC_ZF_Padilla:AC20:6:TERATOSCORE,2.037,-3.605,0.456,0.5,-0.816,0.375,0,99
"NIEHS_RAT:LOEL:NA:DART, In life observation",TC_ZF_Padilla:AC10:6:TERATOSCORE,2.195,-4.092,0.505,0.57,-1.144,0.404,0,99
"NIEHS_RAT:LOEL:NA:DART, In life observation",NIEHS_RAT:LD50:NA:Acute Oral Toxicity,0.813,1.487,0.808,0.679,1.744,0.802,0,125
NIEHS_RAT:LD50:NA:Acute Oral Toxicity,TC_ZF_Padilla:BMD:6:TERATOSCORE,8.138,-24.558,0.305,0.105,-0.168,0.077,0.232,240
NIEHS_RAT:LD50:NA:Acute Oral Toxicity,TC_ZF_Padilla:ACC:6:TERATOSCORE,7.626,-23.058,0.313,0.116,-0.256,0.085,0.189,240
NIEHS_RAT:LD50:NA:Acute Oral Toxicity,TC_ZF_Padilla:AC5:6:TERATOSCORE,6.219,-19.192,0.423,0.222,-0.984,0.145,0.024,240
NIEHS_RAT:LD50:NA:Acute Oral Toxicity,TC_ZF_Padilla:AC50:6:TERATOSCORE,7.491,-22.475,0.284,0.103,-0.045,0.077,0.23,240
NIEHS_RAT:LD50:NA:Acute Oral Toxicity,TC_ZF_Padilla:AC20:6:TERATOSCORE,6.191,-18.765,0.33,0.151,-0.427,0.109,0.089,240
NIEHS_RAT:LD50:NA:Acute Oral Toxicity,TC_ZF_Padilla:AC10:6:TERATOSCORE,6.012,-18.392,0.373,0.187,-0.706,0.129,0.045,240
"NIEHS_RABBIT:LOEL:NA:DART, Reproductive performance",TC_ZF_Padilla:BMD:6:TERATOSCORE,2.912,-5.017,0.273,0.214,-0.095,0.172,0.373,27
"NIEHS_RABBIT:LOEL:NA:DART, Reproductive performance",TC_ZF_Padilla:ACC:6:TERATOSCORE,3.373,-5.907,0.283,0.203,-0.122,0.159,0.41,27
"NIEHS_RABBIT:LOEL:NA:DART, Reproductive performance",TC_ZF_Padilla:AC5:6:TERATOSCORE,12.665,-23.209,0.391,0.1,-0.286,0.067,0.732,27
"NIEHS_RABBIT:LOEL:NA:DART, Reproductive performance",TC_ZF_Padilla:AC50:6:TERATOSCORE,3.993,-6.918,0.328,0.218,-0.03,0.162,0.402,27
"NIEHS_RABBIT:LOEL:NA:DART, Reproductive performance",TC_ZF_Padilla:AC20:6:TERATOSCORE,5.672,-10.169,0.354,0.181,-0.152,0.128,0.507,27
"NIEHS_RABBIT:LOEL:NA:DART, Reproductive performance",TC_ZF_Padilla:AC10:6:TERATOSCORE,7.895,-14.363,0.372,0.145,-0.224,0.099,0.608,27
"NIEHS_RABBIT:LOEL:NA:DART, Reproductive performance","NIEHS_RAT:LOEL:NA:DART, In life observation",1.477,-0.739,0.71,0.896,0.385,0.684,0,27
"NIEHS_RABBIT:LOEL:NA:DART, Reproductive performance",NIEHS_RAT:LD50:NA:Acute Oral Toxicity,1.022,1.192,0.524,0.53,2.176,0.524,0,50
"NIEHS_RABBIT:LOEL:NA:DART, In life observation",TC_ZF_Padilla:BMD:6:TERATOSCORE,2.372,-3.966,0.377,0.367,-0.445,0.28,0.024,63
"NIEHS_RABBIT:LOEL:NA:DART, In life observation",TC_ZF_Padilla:ACC:6:TERATOSCORE,2.473,-4.193,0.364,0.343,-0.455,0.263,0.035,63
"NIEHS_RABBIT:LOEL:NA:DART, In life observation",TC_ZF_Padilla:AC5:6:TERATOSCORE,4.438,-8.011,0.367,0.235,-0.633,0.167,0.184,63
"NIEHS_RABBIT:LOEL:NA:DART, In life observation",TC_ZF_Padilla:AC50:6:TERATOSCORE,3.028,-5.047,0.368,0.311,-0.276,0.229,0.066,63
"NIEHS_RABBIT:LOEL:NA:DART, In life observation",TC_ZF_Padilla:AC20:6:TERATOSCORE,3.48,-6.037,0.362,0.278,-0.414,0.202,0.106,63
"NIEHS_RABBIT:LOEL:NA:DART, In life observation",TC_ZF_Padilla:AC10:6:TERATOSCORE,3.887,-6.895,0.362,0.256,-0.52,0.184,0.142,63
"NIEHS_RABBIT:LOEL:NA:DART, In life observation","NIEHS_RAT:LOEL:NA:DART, Reproductive performance",0.498,1.444,0.694,0.391,1.619,0.61,0.061,8
"NIEHS_RABBIT:LOEL:NA:DART, In life observation","NIEHS_RAT:LOEL:NA:DART, In life observation",0.934,0.365,0.561,0.539,1.063,0.56,0,64
"NIEHS_RABBIT:LOEL:NA:DART, In life observation",NIEHS_RAT:LD50:NA:Acute Oral Toxicity,0.657,1.942,0.532,0.403,2.418,0.499,0,97
"NIEHS_RABBIT:LOEL:NA:DART, In life observation","NIEHS_RABBIT:LOEL:NA:DART, Reproductive performance",0.97,0.103,0.963,0.935,0.173,0.963,0,49
NEMATODE_COPAS1:AC50:NA:Growth,TC_ZF_Padilla:BMD:6:TERATOSCORE,1.026,-1.189,0.191,0.192,-0.061,0.191,0,400
NEMATODE_COPAS1:AC50:NA:Growth,TC_ZF_Padilla:ACC:6:TERATOSCORE,1.068,-1.298,0.193,0.195,-0.116,0.193,0,400
NEMATODE_COPAS1:AC50:NA:Growth,TC_ZF_Padilla:AC5:6:TERATOSCORE,1.846,-2.738,0.21,0.198,-0.509,0.177,0,400
NEMATODE_COPAS1:AC50:NA:Growth,TC_ZF_Padilla:AC50:6:TERATOSCORE,0.907,-0.904,0.176,0.172,0.091,0.175,0,400
NEMATODE_COPAS1:AC50:NA:Growth,TC_ZF_Padilla:AC20:6:TERATOSCORE,1.118,-1.417,0.185,0.188,-0.159,0.184,0,400
NEMATODE_COPAS1:AC50:NA:Growth,TC_ZF_Padilla:AC10:6:TERATOSCORE,1.394,-1.956,0.193,0.195,-0.334,0.183,0,400
NEMATODE_COPAS1:AC50:NA:Growth,"NIEHS_RAT:LOEL:NA:DART, Reproductive performance",0.009,2.159,0.187,0.003,2.169,0.003,0.987,24
NEMATODE_COPAS1:AC50:NA:Growth,"NIEHS_RAT:LOEL:NA:DART, In life observation",0.571,1.141,0.279,0.211,1.649,0.243,0.002,162
NEMATODE_COPAS1:AC50:NA:Growth,NIEHS_RAT:LD50:NA:Acute Oral Toxicity,0.062,3.045,0.313,0.03,3.09,0.041,0.338,549
NEMATODE_COPAS1:AC50:NA:Growth,"NIEHS_RABBIT:LOEL:NA:DART, Reproductive performance",1.03,0.491,0.182,0.183,1.719,0.182,0.175,55
NEMATODE_COPAS1:AC50:NA:Growth,"NIEHS_RABBIT:LOEL:NA:DART, In life observation",0.327,1.399,0.284,0.137,1.68,0.172,0.065,113
NEMATODE_COPAS1:AC50:NA:Growth,"NIEHS_MOUSE:LOEL:NA:DART, In life observation",-351.799,553.469,0.701,-0.013,2.767,-0.006,0.993,3
NEMATODE_COPAS1:AC50:NA:Growth,INVERT:LC50:7:Mortality,4.143,-5.842,0.23,0.132,-0.753,0.107,0.783,7
NEMATODE_COPAS1:AC50:NA:Growth,INVERT:LC50:6:Mortality,-0.782,2.337,0.805,-0.654,2.256,-0.796,0.058,4
NEMATODE_COPAS1:AC50:NA:Growth,INVERT:LC50:5:Mortality,2.984,-4.879,0.338,0.279,-2.239,0.211,0.371,18
NEMATODE_COPAS1:AC50:NA:Growth,INVERT:LC50:4:Mortality,8.628,-11.127,0.514,0.236,-0.261,0.136,0.022,284
NEMATODE_COPAS1:AC50:NA:Growth,INVERT:LC50:3:Mortality,182.01,-205.71,0.551,0.014,-0.181,0.007,0.961,45
NEMATODE_COPAS1:AC50:NA:Growth,INVERT:LC50:2:Mortality,11.492,-15.072,0.449,0.139,0.182,0.087,0.079,411
NEMATODE_COPAS1:AC50:NA:Growth,INVERT:LC50:1:Mortality,83.717,-107.298,0.513,0.025,0.175,0.014,0.853,169
NEMATODE_COPAS1:AC50:NA:Growth,INVERT:LC50:1.1:Mortality,8.578,-10.422,0.654,0.414,-1.922,0.195,0.302,28
NEMATODE_COPAS1:AC50:NA:Growth,FISH:LC50:4:Mortality,8.606,-10.82,0.368,0.131,0.551,0.09,0.042,503
NEMATODE_COPAS1:AC50:NA:Growth,ALGAE:EC50:7:Population,32.079,-33.126,0.496,0.061,0.213,0.036,0.908,11
NEMATODE_COPAS1:AC50:NA:Growth,ALGAE:EC50:6:Population,3.979,-5.939,0.361,0.25,-0.01,0.18,0.538,12
NEMATODE_COPAS1:AC50:NA:Growth,ALGAE:EC50:5:Population,5.377,-8.535,0.318,0.163,-0.797,0.12,0.229,101
NEMATODE_COPAS1:AC50:NA:Growth,ALGAE:EC50:4:Population,2.222,-2.609,0.282,0.259,0.037,0.214,0.006,160
NEMATODE_COPAS1:AC50:NA:Growth,ALGAE:EC50:3:Population,9.514,-12.843,0.461,0.174,0.284,0.107,0.26,110
NEMATODE_COPAS1:AC50:NA:Growth,ALGAE:EC50:2:Population,-1.683,2.846,0.299,-0.306,0.994,-0.265,0.041,58
NEMATODE_COPAS1:AC50:NA:Growth,ALGAE:EC50:1:Population,3.761,-5.263,0.482,0.412,-0.231,0.264,0.042,58
NEMATODE:EC50:2:Growth,TC_ZF_Padilla:BMD:6:TERATOSCORE,3.277,-5.093,0.476,0.44,-0.403,0.289,0.487,6
NEMATODE:EC50:2:Growth,TC_ZF_Padilla:ACC:6:TERATOSCORE,3.138,-4.945,0.494,0.478,-0.549,0.312,0.452,6
NEMATODE:EC50:2:Growth,TC_ZF_Padilla:AC5:6:TERATOSCORE,8.373,-14.341,0.742,0.625,-1.535,0.252,0.547,6
NEMATODE:EC50:2:Growth,TC_ZF_Padilla:AC50:6:TERATOSCORE,5.62,-8.826,0.418,0.237,0.071,0.157,0.711,6
NEMATODE:EC50:2:Growth,TC_ZF_Padilla:AC20:6:TERATOSCORE,4.977,-8.149,0.538,0.413,-0.605,0.24,0.568,6
NEMATODE:EC50:2:Growth,TC_ZF_Padilla:AC10:6:TERATOSCORE,6.336,-10.683,0.651,0.526,-1.079,0.255,0.542,6
NEMATODE:EC50:2:Growth,"NIEHS_RAT:LOEL:NA:DART, In life observation",7.936,-12.389,0.842,1.13,-0.893,0.361,0.551,3
NEMATODE:EC50:2:Growth,NIEHS_RAT:LD50:NA:Acute Oral Toxicity,11.632,-16.568,0.655,0.316,2.125,0.146,0.686,8
NEMATODE:EC50:2:Growth,NEMATODE_COPAS1:AC50:NA:Growth,24.345,-40.22,0.769,0.269,0.728,0.098,0.802,7
NEMATODE:EC50:2:Growth,INVERT:LC50:4:Mortality,7.574,-11.826,0.606,0.379,-0.86,0.194,0.546,10
NEMATODE:EC50:2:Growth,INVERT:LC50:3:Mortality,-20.135,32.707,0.717,-0.248,0.161,-0.101,0.848,4
NEMATODE:EC50:2:Growth,INVERT:LC50:2:Mortality,4.979,-8.174,0.645,0.615,-1.523,0.31,0.327,10
NEMATODE:EC50:2:Growth,INVERT:LC50:1:Mortality,3.174,-5.18,0.653,0.805,-1.548,0.443,0.2,8
NEMATODE:EC50:2:Growth,FISH:LC50:4:Mortality,3.029,-4.553,0.545,0.577,-0.816,0.361,0.249,10
NEMATODE:EC50:2:Growth,ALGAE:EC50:4:Population,-17.579,24.736,0.667,-0.224,0.455,-0.101,0.829,5
NEMATODE:EC50:2:Growth,ALGAE:EC50:3:Population,15.134,-22.12,0.613,0.205,-0.104,0.101,0.871,3
NEMATODE:EC10:2:Growth,TC_ZF_Padilla:BMD:6:TERATOSCORE,0.591,-0.178,0.744,0.48,-0.132,0.699,0.017,9
NEMATODE:EC10:2:Growth,TC_ZF_Padilla:ACC:6:TERATOSCORE,0.587,-0.246,0.738,0.474,-0.199,0.691,0.018,9
NEMATODE:EC10:2:Growth,TC_ZF_Padilla:AC5:6:TERATOSCORE,0.761,-0.934,0.399,0.347,-0.764,0.387,0.24,9
NEMATODE:EC10:2:Growth,TC_ZF_Padilla:AC50:6:TERATOSCORE,0.545,-0.028,0.711,0.431,0.019,0.647,0.031,9
NEMATODE:EC10:2:Growth,TC_ZF_Padilla:AC20:6:TERATOSCORE,0.561,-0.358,0.638,0.409,-0.295,0.577,0.063,9
NEMATODE:EC10:2:Growth,TC_ZF_Padilla:AC10:6:TERATOSCORE,0.619,-0.626,0.525,0.381,-0.528,0.484,0.132,9
NEMATODE:EC10:2:Growth,"NIEHS_RAT:LOEL:NA:DART, In life observation",2.997,-2.635,0.512,0.52,0.634,0.337,0.415,6
NEMATODE:EC10:2:Growth,NIEHS_RAT:LD50:NA:Acute Oral Toxicity,-0.027,2.775,0.454,-0.017,2.77,-0.028,0.904,19
NEMATODE:EC10:2:Growth,"NIEHS_RABBIT:LOEL:NA:DART, In life observation",-0.411,2.269,0.479,-0.251,2.105,-0.358,0.486,4
NEMATODE:EC10:2:Growth,NEMATODE_COPAS1:AC50:NA:Growth,0.781,0.437,0.325,0.292,0.798,0.316,0.271,12
NEMATODE:EC10:2:Growth,NEMATODE:EC50:2:Growth,0.785,0.752,0.968,0.764,0.771,0.966,0,9
NEMATODE:EC10:2:Growth,INVERT:LC50:4:Mortality,2.152,-1.879,0.688,0.946,-0.949,0.587,0.005,19
NEMATODE:EC10:2:Growth,INVERT:LC50:3:Mortality,3.147,-2.511,0.704,0.956,-1.224,0.497,0.12,9
NEMATODE:EC10:2:Growth,INVERT:LC50:2:Mortality,1.992,-2.081,0.721,1.015,-1.328,0.64,0.002,19
NEMATODE:EC10:2:Growth,INVERT:LC50:1:Mortality,1.933,-1.823,0.762,1.112,-1.123,0.693,0.002,15
NEMATODE:EC10:2:Growth,FISH:LC50:4:Mortality,1.204,-0.564,0.374,0.395,-0.037,0.368,0.1,19
NEMATODE:EC10:2:Growth,ALGAE:EC50:5:Population,-23.049,29.707,0.316,-0.04,0.099,-0.029,0.951,5
NEMATODE:EC10:2:Growth,ALGAE:EC50:4:Population,-0.651,0.349,0.081,-0.072,0,-0.074,0.802,12
NEMATODE:EC10:2:Growth,ALGAE:EC50:3:Population,-5.04,4.871,0.454,-0.299,0.196,-0.191,0.597,8
NEMATODE:EC10:2:Growth,ALGAE:EC50:2:Population,-12.79,12.315,0.623,-0.252,-0.044,-0.123,0.793,5
NEMATODE:EC10:2:Growth,ALGAE:EC50:1:Population,2.808,-4.036,0.905,1.918,-2.983,0.803,0.03,5
INVERT:LC50:7:Mortality,TC_ZF_Padilla:BMD:6:TERATOSCORE,30.368,30.782,0.329,0.032,-0.394,0.023,0.966,4
INVERT:LC50:7:Mortality,TC_ZF_Padilla:ACC:6:TERATOSCORE,28.71,29.052,0.334,0.035,-0.417,0.025,0.963,4
INVERT:LC50:7:Mortality,TC_ZF_Padilla:AC5:6:TERATOSCORE,867.359,890.737,0.33,0.001,-0.639,0.001,0.999,4
INVERT:LC50:7:Mortality,TC_ZF_Padilla:AC50:6:TERATOSCORE,-299.762,-308.406,0.29,-0.003,-0.346,-0.002,0.997,4
INVERT:LC50:7:Mortality,TC_ZF_Padilla:AC20:6:TERATOSCORE,86.99,88.93,0.315,0.011,-0.458,0.008,0.989,4
INVERT:LC50:7:Mortality,TC_ZF_Padilla:AC10:6:TERATOSCORE,97.62,99.769,0.325,0.01,-0.544,0.007,0.989,4
INVERT:LC50:7:Mortality,NIEHS_RAT:LD50:NA:Acute Oral Toxicity,-0.211,3.156,0.517,-0.142,3.192,-0.237,0.609,5
INVERT:LC50:7:Mortality,ALGAE:EC50:5:Population,1.131,0.23,0.896,0.998,0.154,0.895,0.016,4
INVERT:LC50:7:Mortality,ALGAE:EC50:4:Population,0.377,0.059,0.474,0.231,0.023,0.335,0.344,8
INVERT:LC50:7:Mortality,ALGAE:EC50:3:Population,-0.043,-0.629,0.721,-0.036,-0.629,-0.089,0.834,6
INVERT:LC50:7:Mortality,ALGAE:EC50:2:Population,0.552,-0.004,0.795,0.472,-0.008,0.743,0.056,5
INVERT:LC50:7:Mortality,ALGAE:EC50:1:Population,0.324,-0.137,0.214,0.107,-0.062,0.127,0.785,5
INVERT:LC50:6:Mortality,NIEHS_RAT:LD50:NA:Acute Oral Toxicity,0.078,2.515,0.926,0.075,2.521,0.355,0.558,3
INVERT:LC50:5:Mortality,TC_ZF_Padilla:BMD:6:TERATOSCORE,0.538,1.292,0.348,0.243,0.615,0.295,0.25,15
INVERT:LC50:5:Mortality,TC_ZF_Padilla:ACC:6:TERATOSCORE,0.588,1.328,0.363,0.269,0.595,0.322,0.207,15
INVERT:LC50:5:Mortality,TC_ZF_Padilla:AC5:6:TERATOSCORE,1.052,1.777,0.44,0.45,0.389,0.44,0.077,15
INVERT:LC50:5:Mortality,TC_ZF_Padilla:AC50:6:TERATOSCORE,0.479,1.315,0.237,0.161,0.583,0.187,0.472,15
INVERT:LC50:5:Mortality,TC_ZF_Padilla:AC20:6:TERATOSCORE,0.704,1.48,0.328,0.278,0.5,0.311,0.224,15
INVERT:LC50:5:Mortality,TC_ZF_Padilla:AC10:6:TERATOSCORE,0.866,1.601,0.389,0.365,0.446,0.386,0.126,15
INVERT:LC50:5:Mortality,NIEHS_RAT:LD50:NA:Acute Oral Toxicity,0.208,2.429,0.521,0.141,2.309,0.237,0.377,14
INVERT:LC50:5:Mortality,INVERT:LC50:3:Mortality,1.148,1.146,0.577,0.62,0.206,0.573,0.138,6
INVERT:LC50:5:Mortality,ALGAE:EC50:4:Population,-0.148,-0.568,0.586,-0.109,-0.506,-0.205,0.741,3
INVERT:LC50:4:Mortality,TC_ZF_Padilla:BMD:6:TERATOSCORE,0.326,0.3,0.424,0.186,0.196,0.266,0.001,159
INVERT:LC50:4:Mortality,TC_ZF_Padilla:ACC:6:TERATOSCORE,0.343,0.256,0.418,0.193,0.145,0.272,0,159
INVERT:LC50:4:Mortality,TC_ZF_Padilla:AC5:6:TERATOSCORE,0.509,-0.038,0.36,0.24,-0.238,0.298,0,159
INVERT:LC50:4:Mortality,TC_ZF_Padilla:AC50:6:TERATOSCORE,0.32,0.432,0.436,0.187,0.333,0.27,0.001,159
INVERT:LC50:4:Mortality,TC_ZF_Padilla:AC20:6:TERATOSCORE,0.386,0.232,0.414,0.213,0.103,0.293,0,159
INVERT:LC50:4:Mortality,TC_ZF_Padilla:AC10:6:TERATOSCORE,0.441,0.093,0.39,0.228,-0.065,0.299,0,159
INVERT:LC50:4:Mortality,"NIEHS_RAT:LOEL:NA:DART, Reproductive performance",0.567,2.296,0.47,0.325,2.243,0.416,0.097,15
INVERT:LC50:4:Mortality,"NIEHS_RAT:LOEL:NA:DART, In life observation",0.337,1.842,0.673,0.265,1.832,0.482,0,100
INVERT:LC50:4:Mortality,NIEHS_RAT:LD50:NA:Acute Oral Toxicity,0.198,2.943,0.705,0.162,2.945,0.354,0,222
INVERT:LC50:4:Mortality,"NIEHS_RABBIT:LOEL:NA:DART, Reproductive performance",0.294,1.887,0.748,0.249,1.891,0.52,0.001,38
INVERT:LC50:4:Mortality,"NIEHS_RABBIT:LOEL:NA:DART, In life observation",0.196,1.802,0.668,0.156,1.802,0.321,0.006,69
INVERT:LC50:4:Mortality,INVERT:LC50:7:Mortality,2.363,-0.375,0.54,0.621,-0.147,0.418,0.201,9
INVERT:LC50:4:Mortality,INVERT:LC50:5:Mortality,1.385,0.179,0.872,1.14,-0.2,0.86,0,18
INVERT:LC50:4:Mortality,INVERT:LC50:3:Mortality,1.115,0.104,0.85,0.931,0.045,0.849,0,47
INVERT:LC50:4:Mortality,INVERT:LC50:1:Mortality,0.964,0.305,0.843,0.817,0.242,0.843,0,136
INVERT:LC50:4:Mortality,INVERT:LC50:1.1:Mortality,1.237,0.086,0.531,0.584,-0.833,0.522,0.005,25
INVERT:LC50:4:Mortality,ALGAE:EC50:7:Population,1.036,0.746,0.078,0.078,0.561,0.078,0.831,8
INVERT:LC50:4:Mortality,ALGAE:EC50:6:Population,-0.393,0.848,0.45,-0.23,0.801,-0.324,0.331,9
INVERT:LC50:4:Mortality,ALGAE:EC50:5:Population,-0.337,-0.458,0.046,-0.027,-0.582,-0.028,0.818,70
INVERT:LC50:4:Mortality,ALGAE:EC50:4:Population,0.323,0.322,0.159,0.083,0.341,0.094,0.335,105
INVERT:LC50:4:Mortality,ALGAE:EC50:3:Population,0.907,0.099,0.064,0.063,0.261,0.064,0.591,72
INVERT:LC50:4:Mortality,ALGAE:EC50:2:Population,0.647,0.324,0.158,0.135,0.371,0.144,0.323,47
INVERT:LC50:4:Mortality,ALGAE:EC50:1:Population,1.05,0.001,0.274,0.277,0.11,0.273,0.052,49
INVERT:LC50:3:Mortality,TC_ZF_Padilla:BMD:6:TERATOSCORE,0.281,0.231,0.542,0.193,0.165,0.318,0.067,32
INVERT:LC50:3:Mortality,TC_ZF_Padilla:ACC:6:TERATOSCORE,0.289,0.189,0.535,0.197,0.12,0.32,0.065,32
INVERT:LC50:3:Mortality,TC_ZF_Padilla:AC5:6:TERATOSCORE,0.371,-0.115,0.481,0.23,-0.221,0.337,0.051,32
INVERT:LC50:3:Mortality,TC_ZF_Padilla:AC50:6:TERATOSCORE,0.302,0.375,0.561,0.212,0.307,0.351,0.042,32
INVERT:LC50:3:Mortality,TC_ZF_Padilla:AC20:6:TERATOSCORE,0.33,0.172,0.533,0.222,0.091,0.351,0.042,32
INVERT:LC50:3:Mortality,TC_ZF_Padilla:AC10:6:TERATOSCORE,0.35,0.029,0.508,0.227,-0.063,0.345,0.045,32
